Episode,Total Reward,Epsilon
1,-10,1.0
2,-10,0.995
3,-10,0.990025
4,-10,0.985074875
5,-10,0.9801495006250001
6,0,0.9752487531218751
7,-10,0.9703725093562657
8,0,0.9655206468094844
9,-10,0.960693043575437
10,-10,0.9558895783575597
11,-10,0.9511101304657719
12,-10,0.946354579813443
13,-10,0.9416228069143757
14,-10,0.9369146928798039
15,-10,0.9322301194154049
16,-10,0.9275689688183278
17,-10,0.9229311239742362
18,-10,0.918316468354365
19,-10,0.9137248860125932
20,0,0.9091562615825302
21,-10,0.9046104802746175
22,-10,0.9000874278732445
23,0,0.8955869907338783
24,-10,0.8911090557802088
25,0,0.8866535105013078
26,0,0.8822202429488013
27,-10,0.8778091417340573
28,-10,0.8734200960253871
29,-10,0.8690529955452602
30,-10,0.8647077305675338
31,-10,0.8603841919146962
32,0,0.8560822709551227
33,-10,0.851801859600347
34,-10,0.8475428503023453
35,-10,0.8433051360508336
36,0,0.8390886103705794
37,-10,0.8348931673187264
38,0,0.8307187014821328
39,-10,0.8265651079747222
40,-10,0.8224322824348486
41,0,0.8183201210226743
42,0,0.8142285204175609
43,0,0.810157377815473
44,0,0.8061065909263957
45,0,0.8020760579717637
46,0,0.798065677681905
47,0,0.7940753492934954
48,-10,0.7901049725470279
49,-10,0.7861544476842928
50,0,0.7822236754458713
51,0,0.778312557068642
52,-10,0.7744209942832988
53,-10,0.7705488893118823
54,0,0.7666961448653229
55,-10,0.7628626641409962
56,10,0.7590483508202912
57,-10,0.7552531090661897
58,-10,0.7514768435208588
59,-10,0.7477194593032545
60,10,0.7439808620067382
61,10,0.7402609576967045
62,0,0.736559652908221
63,0,0.7328768546436799
64,0,0.7292124703704616
65,0,0.7255664080186093
66,-10,0.7219385759785162
67,-10,0.7183288830986236
68,-10,0.7147372386831305
69,0,0.7111635524897149
70,-10,0.7076077347272662
71,0,0.7040696960536299
72,0,0.7005493475733617
73,10,0.697046600835495
74,0,0.6935613678313175
75,0,0.6900935609921609
76,0,0.6866430931872001
77,0,0.6832098777212641
78,0,0.6797938283326578
79,10,0.6763948591909945
80,0,0.6730128848950395
81,0,0.6696478204705644
82,0,0.6662995813682115
83,0,0.6629680834613705
84,0,0.6596532430440636
85,0,0.6563549768288433
86,0,0.653073201944699
87,0,0.6498078359349755
88,0,0.6465587967553006
89,0,0.6433260027715241
90,0,0.6401093727576664
91,10,0.6369088258938781
92,10,0.6337242817644086
93,0,0.6305556603555866
94,0,0.6274028820538087
95,10,0.6242658676435396
96,10,0.6211445383053219
97,10,0.6180388156137953
98,0,0.6149486215357263
99,0,0.6118738784280476
100,0,0.6088145090359074
101,20,0.6057704364907278
102,0,0.6027415843082742
103,0,0.5997278763867329
104,0,0.5967292370047992
105,0,0.5937455908197752
106,10,0.5907768628656763
107,10,0.5878229785513479
108,0,0.5848838636585911
109,0,0.5819594443402982
110,0,0.5790496471185967
111,0,0.5761543988830038
112,0,0.5732736268885887
113,0,0.5704072587541458
114,0,0.567555222460375
115,20,0.5647174463480732
116,0,0.5618938591163328
117,0,0.5590843898207511
118,0,0.5562889678716474
119,0,0.5535075230322891
120,0,0.5507399854171277
121,0,0.547986285490042
122,0,0.5452463540625918
123,10,0.5425201222922789
124,0,0.5398075216808175
125,-10,0.5371084840724134
126,-10,0.5344229416520513
127,0,0.531750826943791
128,10,0.5290920728090721
129,0,0.5264466124450268
130,0,0.5238143793828016
131,0,0.5211953074858876
132,10,0.5185893309484582
133,10,0.5159963842937159
134,0,0.5134164023722473
135,20,0.510849320360386
136,0,0.5082950737585841
137,0,0.5057535983897912
138,0,0.5032248303978422
139,0,0.500708706245853
140,30,0.4982051627146237
141,0,0.49571413690105054
142,0,0.4932355662165453
143,10,0.4907693883854626
144,0,0.4883155414435353
145,30,0.4858739637363176
146,0,0.483444593917636
147,0,0.4810273709480478
